"dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"pev_score_2_cat","population_group","in_need","not_displaced",0.104330996213058,NA,0.0854352377383019,0.123226754687814,"admin2Pcod","SO1503"
"pev_score_2_cat","population_group","not_in_need","not_displaced",0.895669003786942,NA,0.876773245312186,0.914564762261698,"admin2Pcod","SO1503"
"pev_score_2_cat","population_group","in_need","IDP",0.21005883120535,NA,0.00208807517520676,0.418029587235494,"admin2Pcod","SO1501"
"pev_score_2_cat","population_group","not_in_need","IDP",0.78994116879465,NA,0.581970412764506,0.997911924824793,"admin2Pcod","SO1501"
"pev_score_2_cat","population_group","in_need","not_displaced",0.0796827972351672,NA,0.0377648617147874,0.121600732755547,"admin2Pcod","SO1501"
"pev_score_2_cat","population_group","not_in_need","not_displaced",0.920317202764833,NA,0.878399267244453,0.962235138285213,"admin2Pcod","SO1501"
"pev_score_2_cat","population_group","in_need","IDP",0.689592945790537,NA,0.578458105373425,0.800727786207649,"admin2Pcod","SO1301"
"pev_score_2_cat","population_group","not_in_need","IDP",0.310407054209463,NA,0.199272213792351,0.421541894626575,"admin2Pcod","SO1301"
"pev_score_2_cat","population_group","in_need","not_displaced",0.168272972421168,NA,0.0889940205571969,0.247551924285139,"admin2Pcod","SO1301"
"pev_score_2_cat","population_group","not_in_need","not_displaced",0.831727027578832,NA,0.752448075714861,0.911005979442803,"admin2Pcod","SO1301"
"pev_score_2_cat","population_group","in_need","IDP",0.752621311081669,NA,0.462914021005827,1.04232860115751,"admin2Pcod","SO1502"
"pev_score_2_cat","population_group","not_in_need","IDP",0.24737868891833,NA,-0.0423286011575117,0.537085978994173,"admin2Pcod","SO1502"
"pev_score_2_cat","population_group","in_need","not_displaced",0.265456840453789,NA,0.186843562226782,0.344070118680796,"admin2Pcod","SO1502"
"pev_score_2_cat","population_group","not_in_need","not_displaced",0.734543159546211,NA,0.655929881319204,0.813156437773218,"admin2Pcod","SO1502"
"pev_score_2_cat","population_group","in_need","IDP",0.363199059620629,NA,0.00802253780464773,0.718375581436611,"admin2Pcod","SO1303"
"pev_score_2_cat","population_group","not_in_need","IDP",0.636800940379371,NA,0.281624418563389,0.991977462195352,"admin2Pcod","SO1303"
"pev_score_2_cat","population_group","in_need","not_displaced",0.201304687884216,NA,0.144976544484258,0.257632831284174,"admin2Pcod","SO1303"
