"dependent.var.value","independent.var.value","repeat.var.value","pev_score_2_cat","edu_score_2_cat","nut_score_2_cat","health_score_2_cat","snfi_score_2_cat","wash_score_2_cat","fsl_score_2_cat","prot_score_2_cat","mcsi_score_2_cat","impact_score_2_cat","msni_2_cat","admin2Name","representiveness_hc"
"in_need","not_displaced","SO1101",0.13516673684992,0.0122437219476287,0.270495405508509,0.0122437219476287,0.222006313143998,0.0244874438952574,0.0550967487643292,0,0.0489748877905149,0,0.110193497528658,"Borama","acceptable"
"in_need","not_displaced","SO1102",0.280821917808219,0.0753424657534247,0.520547945205479,0,0.404109589041096,0,0,0,0,0,0,"Baki","acceptable"
"in_need","not_displaced","SO1103",0.22511912093354,0.0319047286487036,0.106071199558118,0,0.290236845112629,0.0113093461919395,0.0150000317444193,0,0.022500047616629,0,0.0488094255529878,"Lughaye","acceptable"
"in_need","not_displaced","SO1104",0.132231404958678,0.0165289256198347,0.0909090909090909,0.0165289256198347,0.231404958677686,0,0,0,0.0495867768595041,0,0.0578512396694215,"Zeylac","acceptable"
"in_need","not_displaced","SO1201",0.138935960793135,0.0162797097125127,0.2629882824657,0.00813985485625635,0.166426880664178,0.0331178476618025,0.057258198112183,0,0.00813985485625635,0,0.0985159006302418,"Hargeysa","acceptable"
"in_need","not_displaced","SO1202",0.0138686584679034,0.025957515759028,0.206134582206414,0,0.104592834969017,0.0128516292240298,0.000254257310968398,0,0.0133601438459666,0,0.0264660303809648,"Berbera","acceptable"
"in_need","not_displaced","SO1203",0.346250973300264,0.0449296331134446,0.410758405094376,0,0.179409696793146,0.000926506981897976,0.0544096967931458,0,0.000617671321265318,0,0.0547185324537785,"Gebiley","acceptable"
"in_need","not_displaced","SO1301",0.168272972421168,0.05336294104131,0.343608350128329,0,0.0702921116414085,0.00762327729161571,0.0158074265888538,0,0,0,0.0234307038804695,"Burco","acceptable"
"in_need","not_displaced","SO1302",0.231840051522958,0,0.403258069404455,0.0342836035762994,0.227934156690408,0.0342836035762994,0,0,0.0322473101985149,0,0.0685672071525989,"Buuhoodle","informative"
"in_need","not_displaced","SO1303",0.201304687884216,0.153737627230064,0.457791303766393,7.13370530965365e-05,0.351348385065946,0.0393081404078868,0.0646296053957528,0,0.0430864035971685,0,0.147095486453905,"Owdweyne","acceptable"
"in_need","not_displaced","SO1304",0.182539682539683,0.0396825396825397,0.341269841269841,0,0.103174603174603,0.0317460317460317,0.0396825396825397,0,0.0317460317460317,0,0.0952380952380952,"Sheikh","acceptable"
"in_need","not_displaced","SO1401",0.229834013156152,0.0244476192441835,0.280130028781448,0,0.0918701644708211,0,0.000700388568464317,0,0,0,0.000700388568464317,"Laas Caanood","acceptable"
"in_need","not_displaced","SO1402",0.167172508574287,0.0203920350284733,0.241943303678689,0,0.275687614686794,0.0322267852852451,0.0297080826616047,0,0.0203920350284733,0,0.0755295579658321,"Caynabo","acceptable"
"in_need","not_displaced","SO1403",0.624530506635506,0.0788331524914448,0.147859110257908,0.12402971371338,0.0720307152992238,0.0505800851347968,0.00584258409147817,0,0,0,0.0578833152491445,"Taleex","acceptable"
"in_need","not_displaced","SO1404",0.291399211926203,0.0318458272364667,0.336448866949684,0.00502096916903145,0.0955374817093999,0.0260343857051974,0.00251048458451573,0,0.00251048458451573,0,0.0310553548742289,"Xudun","acceptable"
"in_need","not_displaced","SO1501",0.0796827972351672,0.0334885516135415,0.326794343540275,0,0.219410408829676,0.0115468102806856,0.100458650341741,0,0,0,0.106232055482084,"Ceerigaabo","acceptable"
"in_need","not_displaced","SO1502",0.265456840453789,0.069135291545647,0.522046220324538,0.0808769515676591,0.0908528447235785,0.0669184263998871,0.0183922554592917,0.0161753903135318,0.00110843257287994,0,0.102594504745591,"Ceel Afweyn","acceptable"
"in_need","not_displaced","SO1503",0.104330996213058,0.000677495489771626,0.289847071863704,0,0.12230346052648,0.02294311376122,0.000113083714209945,0,0.000452334856839782,0,0.0235085323322697,"Laasqoray","acceptable"
"in_need","not_displaced","SO1601",0.0923379692010151,0.0220320878589556,0.321570082837453,0,0.0456769850840114,0.0262417056241483,0,0,0,0,0.0262417056241483,"Bossaso","acceptable"
"in_need","not_displaced","SO1602",0.22289156626506,0.036144578313253,0.13855421686747,0,0.072289156626506,0.0783132530120482,0.0120481927710843,0,0.00602409638554217,0,0.0903614457831325,"Bandarbeyla","acceptable"
"in_need","not_displaced","SO1604",0.161137440758294,0.004739336492891,0.270142180094787,0,0.0616113744075829,0.00947867298578199,0.037914691943128,0,0.0758293838862559,0,0.113744075829384,"Iskushuban","acceptable"
